Top pages,Clicks,Impressions,CTR,Position
https://www.intelligenzia.fi/kognitiotiede/,110,6502,1.69%,8.16
https://www.intelligenzia.fi/psykologia-ja-kognitiotiede/,70,1988,3.52%,12.21
https://www.intelligenzia.fi/,61,1819,3.35%,17.15
https://www.intelligenzia.fi/opiskelu/,39,2035,1.92%,9.13
https://www.intelligenzia.fi/haikugeneraattori/,18,307,5.86%,5.69
https://www.intelligenzia.fi/cognitive-science-courses/,15,1340,1.12%,16.2
https://www.intelligenzia.fi/yhdistys/,15,448,3.35%,16.02
https://www.intelligenzia.fi/mita-kognitiotiede-voi-antaa-digihumanismille/,15,98,15.31%,13.18
https://www.intelligenzia.fi/tiedote-kognitiotieteen-tilasta/,4,235,1.7%,12.46
https://www.intelligenzia.fi/uuden-koulutusohjelman-perustaminen-kannattaa/,3,101,2.97%,48.16
https://www.intelligenzia.fi/kognitiotieteelle-perustettu-oma-maisteriopintosuunta/,3,80,3.75%,14.38
https://www.intelligenzia.fi/ajankohtaista/,2,130,1.54%,6.63
https://www.intelligenzia.fi/kilpikonnari-kiittaa/,2,66,3.03%,16.7
https://www.intelligenzia.fi/intelligenzian-ryhmamentorointi/,1,125,0.8%,28.64
https://www.intelligenzia.fi/kognitiotieteeseen-toinen-yliopistonlehtori-valonpilkahduksia-tulevaisuudesta/,1,35,2.86%,42.77
https://www.intelligenzia.fi/intelligenzian-jäsenyys-avautuu-kaikille-opiskelijoille/,1,10,10%,8.5
https://www.intelligenzia.fi/maisteriohjelman-haku-on-auki/,0,223,0%,11.74
https://www.intelligenzia.fi/avoin-kirje-dekaanille/,0,115,0%,56.3
https://www.intelligenzia.fi/category/,0,76,0%,1.83
https://www.intelligenzia.fi/tapahtumat/,0,75,0%,13.65
https://www.intelligenzia.fi/search/,0,48,0%,1.46
https://www.intelligenzia.fi/category/opiskelu/,0,43,0%,1.51
https://www.intelligenzia.fi/jäseneksi/,0,36,0%,2.97
https://www.intelligenzia.fi/blogi/cognitive-science-courses,0,25,0%,15.48
https://www.intelligenzia.fi/en,0,23,0%,11.96
https://www.intelligenzia.fi/category/vuosijuhlalahjat/,0,22,0%,11.36
https://www.intelligenzia.fi/kognitiotiede-humanistiseen/,0,21,0%,26.95
https://www.intelligenzia.fi/kirjoittajat/jussi-palomaki-konnari-moralities-of-intelligent-machines,0,20,0%,9.95
https://www.intelligenzia.fi/tiedote-kognitiotieteilijoille/,0,20,0%,11.2
https://intelligenzia.fi/en,0,18,0%,11.33
https://www.intelligenzia.fi/opiskelu,0,15,0%,8.93
https://intelligenzia.fi/blogi/cognitive-science-courses,0,11,0%,12.73
https://www.intelligenzia.fi/yhdistys,0,9,0%,3.11
https://www.intelligenzia.fi/kirjoittajat/pietari-nurmi,0,3,0%,6.67
https://www.intelligenzia.fi/category/kognitiotiede/,0,3,0%,9
https://intelligenzia.fi/kirjoittajat/jussi-palomaki-konnari-moralities-of-intelligent-machines,0,3,0%,12.67
https://www.intelligenzia.fi/blogi/intelligenzian-ryhmamentorointi,0,3,0%,44
https://www.intelligenzia.fi/kirjoittajat/mari-tahka,0,1,0%,4
https://www.intelligenzia.fi/kirjaudu,0,1,0%,7
https://intelligenzia.fi/blogi/tiedote-kognitiotieteilijoille,0,1,0%,10
